slaveside_jv3301Master_lasse100TC_vostroSlave.txt
ptp4l[564413.554]: selected /dev/ptp0 as PTP clock
ptp4l[564413.593]: port 1 (enp1s0f1): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[564413.593]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[564413.593]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[564419.727]: port 1 (enp1s0f1): new foreign master a0369f.fffe.f93e34-1
ptp4l[564420.652]: selected local clock a0369f.fffe.f9498d as best master
ptp4l[564423.327]: selected best master clock a0369f.fffe.f93e34
ptp4l[564423.327]: port 1 (enp1s0f1): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[564501.647]: master offset          0 s2 freq   -3065 path delay      3924
ptp4l[564502.547]: master offset         -6 s2 freq   -3071 path delay      3922
ptp4l[564503.447]: master offset         -6 s2 freq   -3073 path delay      3922
ptp4l[564504.347]: master offset        -15 s2 freq   -3083 path delay      3920
ptp4l[564505.247]: master offset         -1 s2 freq   -3074 path delay      3917
ptp4l[564506.147]: master offset         14 s2 freq   -3059 path delay      3917
ptp4l[564507.048]: master offset        -12 s2 freq   -3081 path delay      3917
ptp4l[564507.948]: master offset         12 s2 freq   -3061 path delay      3917
ptp4l[564508.848]: master offset          0 s2 freq   -3069 path delay      3917
ptp4l[564509.748]: master offset         -3 s2 freq   -3072 path delay      3917
ptp4l[564510.648]: master offset         -3 s2 freq   -3073 path delay      3917
ptp4l[564511.548]: master offset        -14 s2 freq   -3085 path delay      3917
ptp4l[564512.448]: master offset         24 s2 freq   -3051 path delay      3917
ptp4l[564513.348]: master offset        -21 s2 freq   -3089 path delay      3917
ptp4l[564514.248]: master offset          9 s2 freq   -3065 path delay      3917
ptp4l[564515.148]: master offset         -2 s2 freq   -3073 path delay      3921
ptp4l[564516.048]: master offset        -29 s2 freq   -3101 path delay      3925
ptp4l[564516.949]: master offset          0 s2 freq   -3081 path delay      3925
ptp4l[564517.849]: master offset         -3 s2 freq   -3084 path delay      3924
ptp4l[564518.749]: master offset          9 s2 freq   -3073 path delay      3924
ptp4l[564519.649]: master offset         -2 s2 freq   -3081 path delay      3924
ptp4l[564520.549]: master offset          8 s2 freq   -3072 path delay      3924
ptp4l[564521.449]: master offset         -4 s2 freq   -3081 path delay      3923
ptp4l[564522.349]: master offset         -7 s2 freq   -3085 path delay      3923
ptp4l[564523.249]: master offset          5 s2 freq   -3075 path delay      3924
ptp4l[564524.150]: master offset        -16 s2 freq   -3095 path delay      3924
ptp4l[564525.050]: master offset         -5 s2 freq   -3089 path delay      3924
ptp4l[564525.950]: master offset         13 s2 freq   -3072 path delay      3923
ptp4l[564526.850]: master offset        -12 s2 freq   -3093 path delay      3923
ptp4l[564527.750]: master offset         22 s2 freq   -3063 path delay      3923
ptp4l[564528.650]: master offset          1 s2 freq   -3077 path delay      3923
ptp4l[564529.550]: master offset        -31 s2 freq   -3109 path delay      3923
ptp4l[564530.450]: master offset          8 s2 freq   -3079 path delay      3922
ptp4l[564531.350]: master offset         16 s2 freq   -3069 path delay      3922
ptp4l[564532.250]: master offset        -13 s2 freq   -3093 path delay      3923
ptp4l[564533.151]: master offset         21 s2 freq   -3063 path delay      3923
ptp4l[564534.051]: master offset          1 s2 freq   -3077 path delay      3922
ptp4l[564534.951]: master offset         -6 s2 freq   -3083 path delay      3921
ptp4l[564535.851]: master offset          6 s2 freq   -3073 path delay      3921
ptp4l[564536.751]: master offset         -5 s2 freq   -3082 path delay      3921
ptp4l[564537.651]: master offset          8 s2 freq   -3071 path delay      3919
ptp4l[564538.551]: master offset         22 s2 freq   -3055 path delay      3917
ptp4l[564539.451]: master offset        -11 s2 freq   -3081 path delay      3919
ptp4l[564540.351]: master offset         -1 s2 freq   -3074 path delay      3919
ptp4l[564541.251]: master offset        -11 s2 freq   -3085 path delay      3919
ptp4l[564542.151]: master offset          0 s2 freq   -3077 path delay      3921
ptp4l[564543.052]: master offset          5 s2 freq   -3072 path delay      3921
ptp4l[564543.952]: master offset         -7 s2 freq   -3082 path delay      3921
ptp4l[564544.852]: master offset          4 s2 freq   -3073 path delay      3921
ptp4l[564545.752]: master offset         -9 s2 freq   -3085 path delay      3922
ptp4l[564546.652]: master offset         -7 s2 freq   -3086 path delay      3922
ptp4l[564547.552]: master offset          7 s2 freq   -3074 path delay      3922
ptp4l[564548.452]: master offset        -17 s2 freq   -3096 path delay      3923
ptp4l[564549.352]: master offset        -18 s2 freq   -3102 path delay      3923
ptp4l[564550.252]: master offset          0 s2 freq   -3089 path delay      3923
ptp4l[564551.152]: master offset         19 s2 freq   -3070 path delay      3923
ptp4l[564552.053]: master offset         19 s2 freq   -3065 path delay      3921
ptp4l[564552.953]: master offset         -1 s2 freq   -3079 path delay      3921
ptp4l[564553.853]: master offset        -19 s2 freq   -3097 path delay      3922
ptp4l[564554.753]: master offset        -17 s2 freq   -3101 path delay      3920
ptp4l[564555.653]: master offset         28 s2 freq   -3061 path delay      3917
ptp4l[564556.553]: master offset        -10 s2 freq   -3091 path delay      3920
ptp4l[564557.453]: master offset        -18 s2 freq   -3102 path delay      3922
ptp4l[564558.353]: master offset         12 s2 freq   -3077 path delay      3922
ptp4l[564559.253]: master offset          5 s2 freq   -3081 path delay      3922
ptp4l[564560.153]: master offset         14 s2 freq   -3070 path delay      3922
ptp4l[564561.054]: master offset         -1 s2 freq   -3081 path delay      3922
ptp4l[564561.954]: master offset         -2 s2 freq   -3082 path delay      3921
ptp4l[564562.854]: master offset          8 s2 freq   -3073 path delay      3921
ptp4l[564563.754]: master offset         -3 s2 freq   -3081 path delay      3921
ptp4l[564564.654]: master offset         -7 s2 freq   -3086 path delay      3921
ptp4l[564565.554]: master offset        -18 s2 freq   -3099 path delay      3922
ptp4l[564566.454]: master offset         10 s2 freq   -3077 path delay      3922
ptp4l[564567.354]: master offset         15 s2 freq   -3069 path delay      3922
ptp4l[564568.254]: master offset        -13 s2 freq   -3092 path delay      3922
ptp4l[564569.154]: master offset          8 s2 freq   -3075 path delay      3922
ptp4l[564570.055]: master offset         -2 s2 freq   -3083 path delay      3922
ptp4l[564570.955]: master offset         -2 s2 freq   -3083 path delay      3921
ptp4l[564571.855]: master offset          9 s2 freq   -3073 path delay      3921
ptp4l[564572.755]: master offset         11 s2 freq   -3068 path delay      3921
ptp4l[564573.655]: master offset          7 s2 freq   -3069 path delay      3921
ptp4l[564574.555]: master offset        -21 s2 freq   -3095 path delay      3921
ptp4l[564575.455]: master offset          4 s2 freq   -3076 path delay      3920
ptp4l[564576.355]: master offset          9 s2 freq   -3070 path delay      3920
ptp4l[564577.255]: master offset          7 s2 freq   -3069 path delay      3920
ptp4l[564578.155]: master offset        -10 s2 freq   -3084 path delay      3921
ptp4l[564579.056]: master offset        -10 s2 freq   -3087 path delay      3921
ptp4l[564579.956]: master offset          9 s2 freq   -3071 path delay      3918
ptp4l[564580.856]: master offset          7 s2 freq   -3070 path delay      3918
ptp4l[564581.756]: master offset          6 s2 freq   -3069 path delay      3918
